days,rain_volumes
1,14.31711
2,109.8815
3,51.14796
4,160.3442
5,157.7805
6,175.575
7,121.2473
8,161.8492
9,187.721
10,169.4947
11,140.8879
12,119.2
13,37.49091
14,25.01957
15,22.7982
16,10.62324
17,22.28223
18,52.6329
19,144.3477
20,93.8219
21,139.6688
22,187.2834
23,112.8247
24,170.1796
25,134.1929
26,90.87007
27,76.63679
28,104.829
29,77.77952
30,80.05338
31,59.25845
32,3.165104
33,4.118153
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,14.57985
60,36.72097
61,110.4422
62,51.784
63,116.5769
64,86.67932
65,95.27534
66,169.7252
67,153.6469
68,102.1357
69,102.4133
70,93.9651
71,47.40445
72,51.57885
73,8.300242
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,8.257363
84,45.41098
85,49.1152
86,78.02648
87,115.5585
88,136.0315
89,79.32947
90,172.7445
91,105.3199
92,181.9667
93,175.0501
94,177.4771
95,67.73758
96,123.1144
97,107.1043
98,44.44291
99,0.9399437
100,22.811
101,NA
